# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.10
0.3636138875E-03 -0.4658692605E-02 0.6380254506E-03 -0.1805739530E+02 -0.1613995683E-02
0.3689613945E-03 -0.4726827454E-02 0.6474086054E-03 -0.1805732809E+02 -0.1637731996E-02
0.3743536502E-03 -0.4795523590E-02 0.6568702798E-03 -0.1805724861E+02 -0.1661666938E-02
0.3797910291E-03 -0.4864785593E-02 0.6664111310E-03 -0.1805715732E+02 -0.1685802172E-02
0.3852739089E-03 -0.4934618080E-02 0.6760318214E-03 -0.1805705465E+02 -0.1710139373E-02
0.3908026702E-03 -0.5005025705E-02 0.6857330192E-03 -0.1805694103E+02 -0.1734680231E-02
0.3963776970E-03 -0.5076013157E-02 0.6955153981E-03 -0.1805681686E+02 -0.1759426451E-02
0.4019993765E-03 -0.5147585164E-02 0.7053796375E-03 -0.1805668254E+02 -0.1784379751E-02
0.4076680991E-03 -0.5219746492E-02 0.7153264222E-03 -0.1805653845E+02 -0.1809541864E-02
0.4133842584E-03 -0.5292501942E-02 0.7253564431E-03 -0.1805638494E+02 -0.1834914538E-02
0.4191482514E-03 -0.5365856354E-02 0.7354703968E-03 -0.1805622236E+02 -0.1860499534E-02
0.4249604784E-03 -0.5439814608E-02 0.7456689855E-03 -0.1805605106E+02 -0.1886298629E-02
0.4308213430E-03 -0.5514381620E-02 0.7559529176E-03 -0.1805587134E+02 -0.1912313615E-02
0.4367312522E-03 -0.5589562346E-02 0.7663229071E-03 -0.1805568352E+02 -0.1938546298E-02
0.4426906164E-03 -0.5665361781E-02 0.7767796743E-03 -0.1805548790E+02 -0.1964998500E-02
0.4486998494E-03 -0.5741784959E-02 0.7873239453E-03 -0.1805528475E+02 -0.1991672058E-02
0.4547593687E-03 -0.5818836955E-02 0.7979564522E-03 -0.1805507434E+02 -0.2018568825E-02
0.4608695949E-03 -0.5896522882E-02 0.8086779336E-03 -0.1805485694E+02 -0.2045690668E-02
0.4670309525E-03 -0.5974847895E-02 0.8194891340E-03 -0.1805463280E+02 -0.2073039471E-02
0.4732438692E-03 -0.6053817188E-02 0.8303908041E-03 -0.1805440213E+02 -0.2100617132E-02
0.4795087765E-03 -0.6133435997E-02 0.8413837010E-03 -0.1805416518E+02 -0.2128425568E-02
0.4858261095E-03 -0.6213709599E-02 0.8524685881E-03 -0.1805392216E+02 -0.2156466709E-02
0.4921963070E-03 -0.6294643313E-02 0.8636462352E-03 -0.1805367326E+02 -0.2184742502E-02
0.4986198112E-03 -0.6376242498E-02 0.8749174185E-03 -0.1805341870E+02 -0.2213254912E-02
0.5050970683E-03 -0.6458512557E-02 0.8862829208E-03 -0.1805315864E+02 -0.2242005918E-02
0.5116285280E-03 -0.6541458933E-02 0.8977435312E-03 -0.1805289328E+02 -0.2270997516E-02
