# Atomic ae- and pseudo- wavefunctions
#local 1
#l=0 r_rec=2.00
0.2921908989E-04 -0.3243311408E-02 0.6004350438E-05 -0.1719524430E+03 0.1252347878E-03
0.2970479242E-04 -0.3285089295E-02 0.6104159440E-05 -0.1719516806E+03 0.1273165383E-03
0.3019455938E-04 -0.3327058614E-02 0.6204803659E-05 -0.1719509123E+03 0.1294157091E-03
0.3068842479E-04 -0.3369221444E-02 0.6306290084E-05 -0.1719501380E+03 0.1315324461E-03
0.3118642293E-04 -0.3411579852E-02 0.6408625763E-05 -0.1719493577E+03 0.1336668964E-03
0.3168858841E-04 -0.3454135898E-02 0.6511817802E-05 -0.1719485713E+03 0.1358192080E-03
0.3219495608E-04 -0.3496891634E-02 0.6615873369E-05 -0.1719477787E+03 0.1379895304E-03
0.3270556111E-04 -0.3539849103E-02 0.6720799688E-05 -0.1719469800E+03 0.1401780145E-03
0.3322043896E-04 -0.3583010340E-02 0.6826604046E-05 -0.1719461750E+03 0.1423848121E-03
0.3373962539E-04 -0.3626377376E-02 0.6933293792E-05 -0.1719453638E+03 0.1446100766E-03
0.3426315645E-04 -0.3669952233E-02 0.7040876333E-05 -0.1719445462E+03 0.1468539624E-03
0.3479106849E-04 -0.3713736932E-02 0.7149359142E-05 -0.1719437222E+03 0.1491166254E-03
0.3532339819E-04 -0.3757733485E-02 0.7258749751E-05 -0.1719428918E+03 0.1513982227E-03
0.3586018250E-04 -0.3801943902E-02 0.7369055758E-05 -0.1719420549E+03 0.1536989127E-03
0.3640145870E-04 -0.3846370188E-02 0.7480284822E-05 -0.1719412115E+03 0.1560188553E-03
0.3694726439E-04 -0.3891014346E-02 0.7592444668E-05 -0.1719403615E+03 0.1583582115E-03
0.3749763746E-04 -0.3935878377E-02 0.7705543084E-05 -0.1719395048E+03 0.1607171438E-03
0.3805261613E-04 -0.3980964276E-02 0.7819587926E-05 -0.1719386415E+03 0.1630958160E-03
0.3861223896E-04 -0.4026274039E-02 0.7934587112E-05 -0.1719377714E+03 0.1654943933E-03
0.3917654479E-04 -0.4071809661E-02 0.8050548628E-05 -0.1719368945E+03 0.1679130422E-03
0.3974557281E-04 -0.4117573133E-02 0.8167480528E-05 -0.1719360108E+03 0.1703519308E-03
0.4031936256E-04 -0.4163566448E-02 0.8285390933E-05 -0.1719351202E+03 0.1728112284E-03
0.4089795386E-04 -0.4209791598E-02 0.8404288029E-05 -0.1719342226E+03 0.1752911057E-03
0.4148138690E-04 -0.4256250573E-02 0.8524180075E-05 -0.1719333179E+03 0.1777917350E-03
0.4206970220E-04 -0.4302945366E-02 0.8645075395E-05 -0.1719324063E+03 0.1803132900E-03
0.4266294061E-04 -0.4349877969E-02 0.8766982386E-05 -0.1719314875E+03 0.1828559457E-03
0.4326114332E-04 -0.4397050376E-02 0.8889909513E-05 -0.1719305615E+03 0.1854198788E-03
0.4386435189E-04 -0.4444464581E-02 0.9013865313E-05 -0.1719296283E+03 0.1880052672E-03
0.4447260821E-04 -0.4492122579E-02 0.9138858394E-05 -0.1719286878E+03 0.1906122906E-03
0.4508595450E-04 -0.4540026371E-02 0.9264897436E-05 -0.1719277400E+03 0.1932411300E-03
0.4570443337E-04 -0.4588177954E-02 0.9391991192E-05 -0.1719267848E+03 0.1958919678E-03
0.4632808776E-04 -0.4636579332E-02 0.9520148488E-05 -0.1719258221E+03 0.1985649883E-03
0.4695696099E-04 -0.4685232510E-02 0.9649378224E-05 -0.1719248519E+03 0.2012603770E-03
0.4759109672E-04 -0.4734139496E-02 0.9779689374E-05 -0.1719238741E+03 0.2039783212E-03
0.4823053900E-04 -0.4783302300E-02 0.9911090987E-05 -0.1719228887E+03 0.2067190095E-03
0.4887533223E-04 -0.4832722937E-02 0.1004359219E-04 -0.1719218956E+03 0.2094826323E-03
0.4952552119E-04 -0.4882403426E-02 0.1017720218E-04 -0.1719208947E+03 0.2122693815E-03
0.5018115103E-04 -0.4932345787E-02 0.1031193024E-04 -0.1719198861E+03 0.2150794507E-03
0.5084226728E-04 -0.4982552046E-02 0.1044778573E-04 -0.1719188695E+03 0.2179130349E-03
0.5150891585E-04 -0.5033024234E-02 0.1058477808E-04 -0.1719178451E+03 0.2207703311E-03
0.5218114303E-04 -0.5083764385E-02 0.1072291679E-04 -0.1719168126E+03 0.2236515375E-03
0.5285899552E-04 -0.5134774537E-02 0.1086221148E-04 -0.1719157721E+03 0.2265568542E-03
0.5354252038E-04 -0.5186056734E-02 0.1100267180E-04 -0.1719147235E+03 0.2294864832E-03
0.5423176508E-04 -0.5237613025E-02 0.1114430752E-04 -0.1719136667E+03 0.2324406277E-03
0.5492677748E-04 -0.5289445465E-02 0.1128712846E-04 -0.1719126017E+03 0.2354194929E-03
0.5562760585E-04 -0.5341556111E-02 0.1143114456E-04 -0.1719115283E+03 0.2384232857E-03
0.5633429886E-04 -0.5393947028E-02 0.1157636580E-04 -0.1719104466E+03 0.2414522147E-03
0.5704690559E-04 -0.5446620288E-02 0.1172280228E-04 -0.1719093565E+03 0.2445064903E-03
0.5776547551E-04 -0.5499577966E-02 0.1187046415E-04 -0.1719082578E+03 0.2475863245E-03
0.5849005854E-04 -0.5552822144E-02 0.1201936169E-04 -0.1719071507E+03 0.2506919312E-03
0.5922070500E-04 -0.5606354911E-02 0.1216950522E-04 -0.1719060348E+03 0.2538235261E-03
0.5995746561E-04 -0.5660178361E-02 0.1232090518E-04 -0.1719049103E+03 0.2569813267E-03
0.6070039154E-04 -0.5714294595E-02 0.1247357207E-04 -0.1719037770E+03 0.2601655522E-03
0.6144953440E-04 -0.5768705721E-02 0.1262751651E-04 -0.1719026349E+03 0.2633764239E-03
0.6220494619E-04 -0.5823413853E-02 0.1278274917E-04 -0.1719014839E+03 0.2666141645E-03
0.6296667939E-04 -0.5878421112E-02 0.1293928085E-04 -0.1719003239E+03 0.2698789991E-03
0.6373478688E-04 -0.5933729625E-02 0.1309712241E-04 -0.1718991549E+03 0.2731711543E-03
0.6450932202E-04 -0.5989341530E-02 0.1325628481E-04 -0.1718979767E+03 0.2764908588E-03
0.6529033858E-04 -0.6045258967E-02 0.1341677910E-04 -0.1718967894E+03 0.2798383431E-03
0.6607789081E-04 -0.6101484087E-02 0.1357861643E-04 -0.1718955929E+03 0.2832138396E-03
0.6687203340E-04 -0.6158019046E-02 0.1374180805E-04 -0.1718943870E+03 0.2866175828E-03
0.6767282149E-04 -0.6214866011E-02 0.1390636528E-04 -0.1718931717E+03 0.2900498090E-03
0.6848031070E-04 -0.6272027152E-02 0.1407229954E-04 -0.1718919469E+03 0.2935107566E-03
0.6929455710E-04 -0.6329504652E-02 0.1423962237E-04 -0.1718907126E+03 0.2970006660E-03
0.7011561724E-04 -0.6387300697E-02 0.1440834539E-04 -0.1718894686E+03 0.3005197795E-03
0.7094354814E-04 -0.6445417486E-02 0.1457848030E-04 -0.1718882150E+03 0.3040683414E-03
0.7177840728E-04 -0.6503857221E-02 0.1475003893E-04 -0.1718869516E+03 0.3076465982E-03
0.7262025266E-04 -0.6562622116E-02 0.1492303318E-04 -0.1718856783E+03 0.3112547985E-03
0.7346914273E-04 -0.6621714392E-02 0.1509747508E-04 -0.1718843951E+03 0.3148931927E-03
0.7432513643E-04 -0.6681136278E-02 0.1527337674E-04 -0.1718831018E+03 0.3185620335E-03
0.7518829323E-04 -0.6740890013E-02 0.1545075036E-04 -0.1718817985E+03 0.3222615758E-03
0.7605867305E-04 -0.6800977844E-02 0.1562960828E-04 -0.1718804850E+03 0.3259920764E-03
0.7693633634E-04 -0.6861402026E-02 0.1580996291E-04 -0.1718791612E+03 0.3297537944E-03
0.7782134405E-04 -0.6922164823E-02 0.1599182677E-04 -0.1718778271E+03 0.3335469910E-03
0.7871375764E-04 -0.6983268509E-02 0.1617521250E-04 -0.1718764826E+03 0.3373719296E-03
0.7961363908E-04 -0.7044715366E-02 0.1636013282E-04 -0.1718751275E+03 0.3412288760E-03
0.8052105087E-04 -0.7106507686E-02 0.1654660059E-04 -0.1718737619E+03 0.3451180978E-03
0.8143605602E-04 -0.7168647769E-02 0.1673462875E-04 -0.1718723855E+03 0.3490398653E-03
0.8235871807E-04 -0.7231137924E-02 0.1692423036E-04 -0.1718709984E+03 0.3529944507E-03
0.8328910110E-04 -0.7293980472E-02 0.1711541858E-04 -0.1718696004E+03 0.3569821286E-03
0.8422726971E-04 -0.7357177740E-02 0.1730820669E-04 -0.1718681914E+03 0.3610031761E-03
0.8517328906E-04 -0.7420732067E-02 0.1750260809E-04 -0.1718667715E+03 0.3650578723E-03
0.8612722485E-04 -0.7484645801E-02 0.1769863626E-04 -0.1718653403E+03 0.3691464988E-03
0.8708914331E-04 -0.7548921298E-02 0.1789630483E-04 -0.1718638979E+03 0.3732693396E-03
0.8805911126E-04 -0.7613560927E-02 0.1809562752E-04 -0.1718624442E+03 0.3774266809E-03
0.8903719604E-04 -0.7678567063E-02 0.1829661818E-04 -0.1718609791E+03 0.3816188115E-03
0.9002346559E-04 -0.7743942094E-02 0.1849929075E-04 -0.1718595025E+03 0.3858460225E-03
0.9101798839E-04 -0.7809688416E-02 0.1870365932E-04 -0.1718580142E+03 0.3901086074E-03
0.9202083351E-04 -0.7875808436E-02 0.1890973807E-04 -0.1718565142E+03 0.3944068623E-03
0.9303207059E-04 -0.7942304571E-02 0.1911754133E-04 -0.1718550024E+03 0.3987410856E-03
0.9405176985E-04 -0.8009179247E-02 0.1932708351E-04 -0.1718534787E+03 0.4031115784E-03
0.9508000211E-04 -0.8076434903E-02 0.1953837918E-04 -0.1718519429E+03 0.4075186441E-03
0.9611683878E-04 -0.8144073985E-02 0.1975144300E-04 -0.1718503950E+03 0.4119625888E-03
0.9716235186E-04 -0.8212098950E-02 0.1996628976E-04 -0.1718488349E+03 0.4164437211E-03
0.9821661395E-04 -0.8280512268E-02 0.2018293441E-04 -0.1718472624E+03 0.4209623522E-03
0.9927969826E-04 -0.8349316416E-02 0.2040139196E-04 -0.1718456775E+03 0.4255187960E-03
0.1003516786E-03 -0.8418513883E-02 0.2062167760E-04 -0.1718440801E+03 0.4301133687E-03
0.1014326295E-03 -0.8488107170E-02 0.2084380663E-04 -0.1718424700E+03 0.4347463895E-03
0.1025226259E-03 -0.8558098786E-02 0.2106779446E-04 -0.1718408470E+03 0.4394181801E-03
0.1036217436E-03 -0.8628491253E-02 0.2129365666E-04 -0.1718392113E+03 0.4441290650E-03
0.1047300588E-03 -0.8699287101E-02 0.2152140891E-04 -0.1718375625E+03 0.4488793713E-03
0.1058476487E-03 -0.8770488874E-02 0.2175106703E-04 -0.1718359006E+03 0.4536694289E-03
0.1069745906E-03 -0.8842099124E-02 0.2198264696E-04 -0.1718342254E+03 0.4584995704E-03
0.1081109630E-03 -0.8914120415E-02 0.2221616478E-04 -0.1718325369E+03 0.4633701313E-03
0.1092568448E-03 -0.8986555323E-02 0.2245163672E-04 -0.1718308350E+03 0.4682814497E-03
0.1104123154E-03 -0.9059406433E-02 0.2268907913E-04 -0.1718291194E+03 0.4732338668E-03
0.1115774552E-03 -0.9132676343E-02 0.2292850848E-04 -0.1718273902E+03 0.4782277265E-03
0.1127523451E-03 -0.9206367660E-02 0.2316994142E-04 -0.1718256472E+03 0.4832633756E-03
0.1139370666E-03 -0.9280483003E-02 0.2341339471E-04 -0.1718238901E+03 0.4883411638E-03
0.1151317020E-03 -0.9355025003E-02 0.2365888525E-04 -0.1718221191E+03 0.4934614437E-03
0.1163363344E-03 -0.9429996300E-02 0.2390643010E-04 -0.1718203338E+03 0.4986245708E-03
0.1175510473E-03 -0.9505399548E-02 0.2415604644E-04 -0.1718185342E+03 0.5038309038E-03
0.1187759251E-03 -0.9581237410E-02 0.2440775160E-04 -0.1718167202E+03 0.5090808041E-03
0.1200110528E-03 -0.9657512562E-02 0.2466156307E-04 -0.1718148916E+03 0.5143746365E-03
0.1212565163E-03 -0.9734227689E-02 0.2491749848E-04 -0.1718130483E+03 0.5197127684E-03
0.1225124020E-03 -0.9811385490E-02 0.2517557559E-04 -0.1718111902E+03 0.5250955706E-03
0.1237787972E-03 -0.9888988673E-02 0.2543581233E-04 -0.1718093171E+03 0.5305234170E-03
0.1250557898E-03 -0.9967039960E-02 0.2569822678E-04 -0.1718074290E+03 0.5359966843E-03
0.1263434684E-03 -0.1004554208E-01 0.2596283714E-04 -0.1718055257E+03 0.5415157528E-03
0.1276419225E-03 -0.1012449778E-01 0.2622966181E-04 -0.1718036070E+03 0.5470810058E-03
0.1289512423E-03 -0.1020390982E-01 0.2649871931E-04 -0.1718016728E+03 0.5526928296E-03
0.1302715186E-03 -0.1028378095E-01 0.2677002832E-04 -0.1717997230E+03 0.5583516140E-03
0.1316028433E-03 -0.1036411396E-01 0.2704360768E-04 -0.1717977575E+03 0.5640577519E-03
0.1329453086E-03 -0.1044491164E-01 0.2731947640E-04 -0.1717957761E+03 0.5698116397E-03
0.1342990079E-03 -0.1052617679E-01 0.2759765363E-04 -0.1717937787E+03 0.5756136769E-03
0.1356640352E-03 -0.1060791222E-01 0.2787815870E-04 -0.1717917652E+03 0.5814642665E-03
0.1370404853E-03 -0.1069012076E-01 0.2816101107E-04 -0.1717897354E+03 0.5873638146E-03
0.1384284536E-03 -0.1077280524E-01 0.2844623039E-04 -0.1717876892E+03 0.5933127311E-03
0.1398280367E-03 -0.1085596851E-01 0.2873383647E-04 -0.1717856264E+03 0.5993114290E-03
0.1412393318E-03 -0.1093961342E-01 0.2902384929E-04 -0.1717835470E+03 0.6053603250E-03
0.1426624367E-03 -0.1102374286E-01 0.2931628897E-04 -0.1717814508E+03 0.6114598390E-03
0.1440974505E-03 -0.1110835970E-01 0.2961117584E-04 -0.1717793376E+03 0.6176103946E-03
0.1455444726E-03 -0.1119346684E-01 0.2990853036E-04 -0.1717772073E+03 0.6238124191E-03
0.1470036036E-03 -0.1127906718E-01 0.3020837320E-04 -0.1717750599E+03 0.6300663431E-03
0.1484749449E-03 -0.1136516365E-01 0.3051072516E-04 -0.1717728951E+03 0.6363726008E-03
0.1499585986E-03 -0.1145175916E-01 0.3081560725E-04 -0.1717707127E+03 0.6427316303E-03
0.1514546677E-03 -0.1153885667E-01 0.3112304064E-04 -0.1717685128E+03 0.6491438730E-03
0.1529632562E-03 -0.1162645912E-01 0.3143304669E-04 -0.1717662951E+03 0.6556097744E-03
0.1544844687E-03 -0.1171456949E-01 0.3174564691E-04 -0.1717640595E+03 0.6621297835E-03
0.1560184110E-03 -0.1180319074E-01 0.3206086301E-04 -0.1717618059E+03 0.6687043530E-03
0.1575651895E-03 -0.1189232587E-01 0.3237871690E-04 -0.1717595342E+03 0.6753339395E-03
0.1591249118E-03 -0.1198197787E-01 0.3269923063E-04 -0.1717572441E+03 0.6820190033E-03
0.1606976860E-03 -0.1207214976E-01 0.3302242647E-04 -0.1717549357E+03 0.6887600088E-03
0.1622836214E-03 -0.1216284456E-01 0.3334832687E-04 -0.1717526086E+03 0.6955574241E-03
0.1638828282E-03 -0.1225406530E-01 0.3367695444E-04 -0.1717502629E+03 0.7024117212E-03
0.1654954174E-03 -0.1234581504E-01 0.3400833203E-04 -0.1717478983E+03 0.7093233761E-03
0.1671215010E-03 -0.1243809683E-01 0.3434248263E-04 -0.1717455148E+03 0.7162928687E-03
0.1687611919E-03 -0.1253091375E-01 0.3467942946E-04 -0.1717431122E+03 0.7233206831E-03
0.1704146039E-03 -0.1262426886E-01 0.3501919591E-04 -0.1717406904E+03 0.7304073074E-03
0.1720818520E-03 -0.1271816527E-01 0.3536180558E-04 -0.1717382492E+03 0.7375532336E-03
0.1737630519E-03 -0.1281260609E-01 0.3570728226E-04 -0.1717357885E+03 0.7447589580E-03
0.1754583203E-03 -0.1290759442E-01 0.3605564994E-04 -0.1717333082E+03 0.7520249810E-03
0.1771677750E-03 -0.1300313340E-01 0.3640693282E-04 -0.1717308082E+03 0.7593518071E-03
0.1788915346E-03 -0.1309922616E-01 0.3676115528E-04 -0.1717282882E+03 0.7667399453E-03
0.1806297189E-03 -0.1319587587E-01 0.3711834193E-04 -0.1717257483E+03 0.7741899086E-03
0.1823824487E-03 -0.1329308567E-01 0.3747851758E-04 -0.1717231882E+03 0.7817022142E-03
0.1841498455E-03 -0.1339085875E-01 0.3784170723E-04 -0.1717206078E+03 0.7892773840E-03
0.1859320322E-03 -0.1348919829E-01 0.3820793611E-04 -0.1717180071E+03 0.7969159440E-03
0.1877291324E-03 -0.1358810748E-01 0.3857722965E-04 -0.1717153858E+03 0.8046184246E-03
0.1895412711E-03 -0.1368758954E-01 0.3894961349E-04 -0.1717127438E+03 0.8123853607E-03
0.1913685741E-03 -0.1378764769E-01 0.3932511350E-04 -0.1717100810E+03 0.8202172917E-03
0.1932111682E-03 -0.1388828515E-01 0.3970375575E-04 -0.1717073973E+03 0.8281147615E-03
0.1950691814E-03 -0.1398950517E-01 0.4008556654E-04 -0.1717046925E+03 0.8360783186E-03
0.1969427427E-03 -0.1409131100E-01 0.4047057238E-04 -0.1717019666E+03 0.8441085159E-03
0.1988319823E-03 -0.1419370590E-01 0.4085880001E-04 -0.1716992193E+03 0.8522059111E-03
0.2007370313E-03 -0.1429669316E-01 0.4125027639E-04 -0.1716964505E+03 0.8603710665E-03
0.2026580221E-03 -0.1440027605E-01 0.4164502870E-04 -0.1716936602E+03 0.8686045493E-03
0.2045950880E-03 -0.1450445787E-01 0.4204308436E-04 -0.1716908481E+03 0.8769069310E-03
0.2065483636E-03 -0.1460924194E-01 0.4244447101E-04 -0.1716880141E+03 0.8852787884E-03
0.2085179845E-03 -0.1471463157E-01 0.4284921653E-04 -0.1716851581E+03 0.8937207027E-03
0.2105040874E-03 -0.1482063008E-01 0.4325734902E-04 -0.1716822800E+03 0.9022332602E-03
0.2125068104E-03 -0.1492724083E-01 0.4366889683E-04 -0.1716793796E+03 0.9108170521E-03
0.2145262925E-03 -0.1503446716E-01 0.4408388853E-04 -0.1716764567E+03 0.9194726745E-03
0.2165626739E-03 -0.1514231243E-01 0.4450235295E-04 -0.1716735113E+03 0.9282007285E-03
0.2186160961E-03 -0.1525078002E-01 0.4492431914E-04 -0.1716705432E+03 0.9370018202E-03
0.2206867016E-03 -0.1535987331E-01 0.4534981641E-04 -0.1716675522E+03 0.9458765607E-03
0.2227746342E-03 -0.1546959568E-01 0.4577887431E-04 -0.1716645382E+03 0.9548255664E-03
0.2248800390E-03 -0.1557995055E-01 0.4621152263E-04 -0.1716615010E+03 0.9638494587E-03
0.2270030621E-03 -0.1569094132E-01 0.4664779142E-04 -0.1716584406E+03 0.9729488644E-03
0.2291438511E-03 -0.1580257142E-01 0.4708771098E-04 -0.1716553566E+03 0.9821244153E-03
0.2313025544E-03 -0.1591484429E-01 0.4753131185E-04 -0.1716522491E+03 0.9913767485E-03
0.2334793221E-03 -0.1602776335E-01 0.4797862484E-04 -0.1716491178E+03 0.1000706507E-02
