# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.80
0.7478330824E-04 0.2528427694E-02 0.1465174709E-04 -0.1079565878E+03 0.4232453176E-03
0.7579322812E-04 0.2559647086E-02 0.1484961332E-04 -0.1079560616E+03 0.4289610831E-03
0.7681159915E-04 0.2591089820E-02 0.1504913532E-04 -0.1079555321E+03 0.4347246791E-03
0.7783849208E-04 0.2622757632E-02 0.1525032695E-04 -0.1079549992E+03 0.4405365057E-03
0.7887397819E-04 0.2654652272E-02 0.1545320218E-04 -0.1079544630E+03 0.4463969666E-03
0.7991812942E-04 0.2686775499E-02 0.1565777510E-04 -0.1079539235E+03 0.4523064686E-03
0.8097101826E-04 0.2719129083E-02 0.1586405992E-04 -0.1079533805E+03 0.4582654223E-03
0.8203271783E-04 0.2751714807E-02 0.1607207096E-04 -0.1079528342E+03 0.4642742415E-03
0.8310330187E-04 0.2784534462E-02 0.1628182267E-04 -0.1079522844E+03 0.4703333433E-03
0.8418284471E-04 0.2817589855E-02 0.1649332962E-04 -0.1079517311E+03 0.4764431486E-03
0.8527142134E-04 0.2850882802E-02 0.1670660649E-04 -0.1079511743E+03 0.4826040818E-03
0.8636910734E-04 0.2884415131E-02 0.1692166809E-04 -0.1079506140E+03 0.4888165705E-03
0.8747597895E-04 0.2918188682E-02 0.1713852936E-04 -0.1079500502E+03 0.4950810463E-03
0.8859211302E-04 0.2952205307E-02 0.1735720536E-04 -0.1079494828E+03 0.5013979442E-03
0.8971758708E-04 0.2986466869E-02 0.1757771127E-04 -0.1079489118E+03 0.5077677028E-03
0.9085247927E-04 0.3020975246E-02 0.1780006241E-04 -0.1079483372E+03 0.5141907645E-03
0.9199686841E-04 0.3055732325E-02 0.1802427421E-04 -0.1079477590E+03 0.5206675754E-03
0.9315083398E-04 0.3090740007E-02 0.1825036226E-04 -0.1079471772E+03 0.5271985853E-03
0.9431445610E-04 0.3126000204E-02 0.1847834225E-04 -0.1079465916E+03 0.5337842476E-03
0.9548781560E-04 0.3161514844E-02 0.1870823000E-04 -0.1079460024E+03 0.5404250198E-03
0.9667099394E-04 0.3197285864E-02 0.1894004150E-04 -0.1079454095E+03 0.5471213629E-03
0.9786407330E-04 0.3233315214E-02 0.1917379282E-04 -0.1079448129E+03 0.5538737421E-03
0.9906713653E-04 0.3269604860E-02 0.1940950022E-04 -0.1079442125E+03 0.5606826262E-03
0.1002802672E-03 0.3306156777E-02 0.1964718005E-04 -0.1079436084E+03 0.5675484881E-03
0.1015035495E-03 0.3342972955E-02 0.1988684882E-04 -0.1079430006E+03 0.5744718045E-03
0.1027370684E-03 0.3380055397E-02 0.2012852318E-04 -0.1079423889E+03 0.5814530564E-03
0.1039809096E-03 0.3417406120E-02 0.2037221990E-04 -0.1079417735E+03 0.5884927284E-03
0.1052351594E-03 0.3455027152E-02 0.2061795592E-04 -0.1079411542E+03 0.5955913094E-03
0.1064999050E-03 0.3492920537E-02 0.2086574829E-04 -0.1079405311E+03 0.6027492925E-03
0.1077752342E-03 0.3531088331E-02 0.2111561422E-04 -0.1079399042E+03 0.6099671746E-03
0.1090612356E-03 0.3569532604E-02 0.2136757108E-04 -0.1079392735E+03 0.6172454571E-03
0.1103579983E-03 0.3608255440E-02 0.2162163634E-04 -0.1079386389E+03 0.6245846454E-03
0.1116656126E-03 0.3647258936E-02 0.2187782767E-04 -0.1079380004E+03 0.6319852491E-03
0.1129841693E-03 0.3686545204E-02 0.2213616284E-04 -0.1079373580E+03 0.6394477821E-03
0.1143137597E-03 0.3726116369E-02 0.2239665980E-04 -0.1079367118E+03 0.6469727628E-03
0.1156544765E-03 0.3765974571E-02 0.2265933664E-04 -0.1079360616E+03 0.6545607137E-03
0.1170064125E-03 0.3806121963E-02 0.2292421160E-04 -0.1079354076E+03 0.6622121617E-03
0.1183696617E-03 0.3846560713E-02 0.2319130307E-04 -0.1079347496E+03 0.6699276382E-03
0.1197443188E-03 0.3887293005E-02 0.2346062961E-04 -0.1079340877E+03 0.6777076790E-03
0.1211304793E-03 0.3928321035E-02 0.2373220991E-04 -0.1079334218E+03 0.6855528243E-03
0.1225282394E-03 0.3969647014E-02 0.2400606284E-04 -0.1079327520E+03 0.6934636190E-03
0.1239376961E-03 0.4011273168E-02 0.2428220741E-04 -0.1079320781E+03 0.7014406125E-03
0.1253589474E-03 0.4053201740E-02 0.2456066280E-04 -0.1079314003E+03 0.7094843586E-03
0.1267920919E-03 0.4095434984E-02 0.2484144835E-04 -0.1079307185E+03 0.7175954160E-03
0.1282372292E-03 0.4137975172E-02 0.2512458355E-04 -0.1079300327E+03 0.7257743480E-03
0.1296944596E-03 0.4180824590E-02 0.2541008808E-04 -0.1079293428E+03 0.7340217225E-03
0.1311638843E-03 0.4223985538E-02 0.2569798174E-04 -0.1079286488E+03 0.7423381124E-03
0.1326456054E-03 0.4267460334E-02 0.2598828455E-04 -0.1079279507E+03 0.7507240950E-03
0.1341397258E-03 0.4311251309E-02 0.2628101666E-04 -0.1079272485E+03 0.7591802528E-03
0.1356463492E-03 0.4355360810E-02 0.2657619839E-04 -0.1079265421E+03 0.7677071731E-03
0.1371655803E-03 0.4399791200E-02 0.2687385025E-04 -0.1079258316E+03 0.7763054479E-03
0.1386975245E-03 0.4444544859E-02 0.2717399291E-04 -0.1079251168E+03 0.7849756743E-03
0.1402422883E-03 0.4489624179E-02 0.2747664721E-04 -0.1079243977E+03 0.7937184546E-03
0.1417999789E-03 0.4535031572E-02 0.2778183416E-04 -0.1079236744E+03 0.8025343957E-03
0.1433707045E-03 0.4580769464E-02 0.2808957497E-04 -0.1079229467E+03 0.8114241100E-03
0.1449545741E-03 0.4626840296E-02 0.2839989099E-04 -0.1079222145E+03 0.8203882148E-03
0.1465516978E-03 0.4673246528E-02 0.2871280380E-04 -0.1079214779E+03 0.8294273326E-03
0.1481621865E-03 0.4719990633E-02 0.2902833510E-04 -0.1079207368E+03 0.8385420911E-03
0.1497861520E-03 0.4767075104E-02 0.2934650682E-04 -0.1079199911E+03 0.8477331233E-03
0.1514237071E-03 0.4814502446E-02 0.2966734104E-04 -0.1079192407E+03 0.8570010674E-03
0.1530749655E-03 0.4862275186E-02 0.2999086006E-04 -0.1079184855E+03 0.8663465671E-03
0.1547400418E-03 0.4910395862E-02 0.3031708634E-04 -0.1079177256E+03 0.8757702714E-03
0.1564190518E-03 0.4958867033E-02 0.3064604252E-04 -0.1079169607E+03 0.8852728346E-03
0.1581121120E-03 0.5007691272E-02 0.3097775147E-04 -0.1079161908E+03 0.8948549168E-03
0.1598193400E-03 0.5056871172E-02 0.3131223620E-04 -0.1079154158E+03 0.9045171832E-03
0.1615408544E-03 0.5106409340E-02 0.3164951995E-04 -0.1079146356E+03 0.9142603050E-03
0.1632767746E-03 0.5156308402E-02 0.3198962615E-04 -0.1079138500E+03 0.9240849587E-03
0.1650272213E-03 0.5206571000E-02 0.3233257841E-04 -0.1079130590E+03 0.9339918266E-03
0.1667923159E-03 0.5257199795E-02 0.3267840054E-04 -0.1079122624E+03 0.9439815967E-03
0.1685721812E-03 0.5308197464E-02 0.3302711657E-04 -0.1079114601E+03 0.9540549627E-03
0.1703669406E-03 0.5359566703E-02 0.3337875071E-04 -0.1079106520E+03 0.9642126242E-03
0.1721767189E-03 0.5411310223E-02 0.3373332738E-04 -0.1079098378E+03 0.9744552865E-03
0.1740016416E-03 0.5463430755E-02 0.3409087120E-04 -0.1079090175E+03 0.9847836610E-03
0.1758418356E-03 0.5515931047E-02 0.3445140700E-04 -0.1079081908E+03 0.9951984649E-03
0.1776974286E-03 0.5568813866E-02 0.3481495982E-04 -0.1079073576E+03 0.1005700421E-02
0.1795685495E-03 0.5622081996E-02 0.3518155491E-04 -0.1079065178E+03 0.1016290260E-02
0.1814553283E-03 0.5675738240E-02 0.3555121772E-04 -0.1079056711E+03 0.1026968716E-02
0.1833578958E-03 0.5729785417E-02 0.3592397392E-04 -0.1079048173E+03 0.1037736531E-02
0.1852763844E-03 0.5784226366E-02 0.3629984941E-04 -0.1079039562E+03 0.1048594452E-02
0.1872109271E-03 0.5839063946E-02 0.3667887029E-04 -0.1079030877E+03 0.1059543235E-02
0.1891616584E-03 0.5894301032E-02 0.3706106287E-04 -0.1079022115E+03 0.1070583638E-02
0.1911287138E-03 0.5949940518E-02 0.3744645369E-04 -0.1079013274E+03 0.1081716429E-02
0.1931122297E-03 0.6005985318E-02 0.3783506953E-04 -0.1079004352E+03 0.1092942381E-02
0.1951123440E-03 0.6062438363E-02 0.3822693736E-04 -0.1078995346E+03 0.1104262274E-02
