# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.40
0.2682032372E-03 -0.4060986876E-02 0.6564287166E-03 -0.2005457407E+02 -0.2604279359E-02
0.2725218603E-03 -0.4126021666E-02 0.6669985659E-03 -0.2005483902E+02 -0.2646213606E-02
0.2768766223E-03 -0.4191592136E-02 0.6776568652E-03 -0.2005508169E+02 -0.2688498766E-02
0.2812678255E-03 -0.4257702669E-02 0.6884043548E-03 -0.2005530254E+02 -0.2731137774E-02
0.2856957750E-03 -0.4324357687E-02 0.6992417809E-03 -0.2005550203E+02 -0.2774133592E-02
0.2901607783E-03 -0.4391561643E-02 0.7101698961E-03 -0.2005568064E+02 -0.2817489205E-02
0.2946631454E-03 -0.4459319027E-02 0.7211894594E-03 -0.2005583886E+02 -0.2861207625E-02
0.2992031890E-03 -0.4527634366E-02 0.7323012360E-03 -0.2005597720E+02 -0.2905291887E-02
0.3037812244E-03 -0.4596512221E-02 0.7435059976E-03 -0.2005609616E+02 -0.2949745053E-02
0.3083975695E-03 -0.4665957189E-02 0.7548045222E-03 -0.2005619626E+02 -0.2994570210E-02
0.3130525448E-03 -0.4735973904E-02 0.7661975945E-03 -0.2005627800E+02 -0.3039770471E-02
0.3177464737E-03 -0.4806567037E-02 0.7776860057E-03 -0.2005634191E+02 -0.3085348974E-02
0.3224796821E-03 -0.4877741296E-02 0.7892705535E-03 -0.2005638850E+02 -0.3131308885E-02
0.3272524987E-03 -0.4949501426E-02 0.8009520425E-03 -0.2005641826E+02 -0.3177653396E-02
0.3320652550E-03 -0.5021852209E-02 0.8127312839E-03 -0.2005643170E+02 -0.3224385725E-02
0.3369182852E-03 -0.5094798466E-02 0.8246090956E-03 -0.2005642932E+02 -0.3271509116E-02
0.3418119262E-03 -0.5168345054E-02 0.8365863026E-03 -0.2005641160E+02 -0.3319026844E-02
0.3467465180E-03 -0.5242496872E-02 0.8486637366E-03 -0.2005637902E+02 -0.3366942207E-02
0.3517224032E-03 -0.5317258855E-02 0.8608422362E-03 -0.2005633206E+02 -0.3415258533E-02
0.3567399273E-03 -0.5392635976E-02 0.8731226473E-03 -0.2005627116E+02 -0.3463979178E-02
0.3617994389E-03 -0.5468633251E-02 0.8855058226E-03 -0.2005619678E+02 -0.3513107524E-02
0.3669012892E-03 -0.5545255732E-02 0.8979926220E-03 -0.2005610936E+02 -0.3562646984E-02
0.3720458326E-03 -0.5622508513E-02 0.9105839128E-03 -0.2005600933E+02 -0.3612600997E-02
0.3772334263E-03 -0.5700396728E-02 0.9232805692E-03 -0.2005589709E+02 -0.3662973034E-02
0.3824644306E-03 -0.5778925550E-02 0.9360834731E-03 -0.2005577305E+02 -0.3713766591E-02
0.3877392087E-03 -0.5858100194E-02 0.9489935135E-03 -0.2005563760E+02 -0.3764985196E-02
0.3930581270E-03 -0.5937925917E-02 0.9620115869E-03 -0.2005549113E+02 -0.3816632407E-02
0.3984215547E-03 -0.6018408015E-02 0.9751385973E-03 -0.2005533400E+02 -0.3868711809E-02
0.4038298645E-03 -0.6099551829E-02 0.9883754565E-03 -0.2005516656E+02 -0.3921227020E-02
0.4092834318E-03 -0.6181362737E-02 0.1001723083E-02 -0.2005498916E+02 -0.3974181685E-02
0.4147826354E-03 -0.6263846166E-02 0.1015182405E-02 -0.2005480214E+02 -0.4027579484E-02
0.4203278572E-03 -0.6347007579E-02 0.1028754357E-02 -0.2005460580E+02 -0.4081424124E-02
0.4259194822E-03 -0.6430852487E-02 0.1042439880E-02 -0.2005440046E+02 -0.4135719343E-02
0.4315578988E-03 -0.6515386442E-02 0.1056239926E-02 -0.2005418642E+02 -0.4190468913E-02
0.4372434986E-03 -0.6600615040E-02 0.1070155452E-02 -0.2005396396E+02 -0.4245676636E-02
0.4429766763E-03 -0.6686543921E-02 0.1084187425E-02 -0.2005373335E+02 -0.4301346346E-02
0.4487578301E-03 -0.6773178769E-02 0.1098336820E-02 -0.2005349487E+02 -0.4357481908E-02
0.4545873615E-03 -0.6860525312E-02 0.1112604619E-02 -0.2005324877E+02 -0.4414087221E-02
0.4604656752E-03 -0.6948589325E-02 0.1126991813E-02 -0.2005299528E+02 -0.4471166216E-02
0.4663931796E-03 -0.7037376627E-02 0.1141499401E-02 -0.2005273464E+02 -0.4528722857E-02
0.4723702863E-03 -0.7126893082E-02 0.1156128390E-02 -0.2005246708E+02 -0.4586761141E-02
0.4783974103E-03 -0.7217144600E-02 0.1170879797E-02 -0.2005219282E+02 -0.4645285097E-02
0.4844749702E-03 -0.7308137139E-02 0.1185754645E-02 -0.2005191204E+02 -0.4704298791E-02
