# Atomic ae- and pseudo- wavefunctions
#local 2 
#l=0 r_rec=1.60
0.1295536610E-03 -0.3019174860E-02 0.5066535532E-04 -0.7198865466E+02 0.5039337450E-03
0.1312139684E-03 -0.3056312444E-02 0.5131466208E-04 -0.7198858158E+02 0.5103919564E-03
0.1328881695E-03 -0.3093739358E-02 0.5196940234E-04 -0.7198850761E+02 0.5169042111E-03
0.1345763806E-03 -0.3131457890E-02 0.5262962156E-04 -0.7198843278E+02 0.5234709613E-03
0.1362787189E-03 -0.3169470343E-02 0.5329536561E-04 -0.7198835712E+02 0.5300926631E-03
0.1379953026E-03 -0.3207779039E-02 0.5396668070E-04 -0.7198828067E+02 0.5367697763E-03
0.1397262510E-03 -0.3246386313E-02 0.5464361345E-04 -0.7198820345E+02 0.5435027646E-03
0.1414716842E-03 -0.3285294523E-02 0.5532621089E-04 -0.7198812545E+02 0.5502920956E-03
0.1432317234E-03 -0.3324506038E-02 0.5601452040E-04 -0.7198804669E+02 0.5571382407E-03
0.1450064909E-03 -0.3364023249E-02 0.5670858980E-04 -0.7198796713E+02 0.5640416754E-03
0.1467961099E-03 -0.3403848563E-02 0.5740846727E-04 -0.7198788675E+02 0.5710028791E-03
0.1486007048E-03 -0.3443984405E-02 0.5811420143E-04 -0.7198780551E+02 0.5780223352E-03
0.1504204008E-03 -0.3484433215E-02 0.5882584128E-04 -0.7198772336E+02 0.5851005312E-03
0.1522553242E-03 -0.3525197455E-02 0.5954343624E-04 -0.7198764021E+02 0.5922379586E-03
0.1541056026E-03 -0.3566279604E-02 0.6026703614E-04 -0.7198755600E+02 0.5994351131E-03
0.1559713644E-03 -0.3607682156E-02 0.6099669125E-04 -0.7198747062E+02 0.6066924945E-03
0.1578527392E-03 -0.3649407627E-02 0.6173245221E-04 -0.7198738395E+02 0.6140106068E-03
0.1597498576E-03 -0.3691458550E-02 0.6247437014E-04 -0.7198729587E+02 0.6213899581E-03
0.1616628513E-03 -0.3733837476E-02 0.6322249656E-04 -0.7198720621E+02 0.6288310610E-03
0.1635918533E-03 -0.3776546975E-02 0.6397688341E-04 -0.7198711483E+02 0.6363344321E-03
0.1655369975E-03 -0.3819589637E-02 0.6473758308E-04 -0.7198702153E+02 0.6439005926E-03
0.1674984190E-03 -0.3862968070E-02 0.6550464841E-04 -0.7198692613E+02 0.6515300679E-03
0.1694762539E-03 -0.3906684900E-02 0.6627813266E-04 -0.7198682840E+02 0.6592233878E-03
0.1714706396E-03 -0.3950742774E-02 0.6705808954E-04 -0.7198672813E+02 0.6669810865E-03
0.1734817147E-03 -0.3995144358E-02 0.6784457322E-04 -0.7198662506E+02 0.6748037029E-03
0.1755096187E-03 -0.4039892335E-02 0.6863763833E-04 -0.7198651894E+02 0.6826917801E-03
0.1775544926E-03 -0.4084989412E-02 0.6943733992E-04 -0.7198640949E+02 0.6906458659E-03
0.1796164783E-03 -0.4130438312E-02 0.7024373354E-04 -0.7198629642E+02 0.6986665128E-03
0.1816957189E-03 -0.4176241780E-02 0.7105687518E-04 -0.7198617943E+02 0.7067542776E-03
0.1837923590E-03 -0.4222402579E-02 0.7187682132E-04 -0.7198605821E+02 0.7149097221E-03
0.1859065441E-03 -0.4268923495E-02 0.7270362890E-04 -0.7198593242E+02 0.7231334126E-03
0.1880384210E-03 -0.4315807332E-02 0.7353735533E-04 -0.7198580173E+02 0.7314259201E-03
0.1901881378E-03 -0.4363056914E-02 0.7437805851E-04 -0.7198566578E+02 0.7397878207E-03
0.1923558437E-03 -0.4410675089E-02 0.7522579682E-04 -0.7198552421E+02 0.7482196949E-03
0.1945416894E-03 -0.4458664722E-02 0.7608062915E-04 -0.7198537666E+02 0.7567221283E-03
0.1967458265E-03 -0.4507028700E-02 0.7694261484E-04 -0.7198522273E+02 0.7652957113E-03
0.1989684082E-03 -0.4555769931E-02 0.7781181376E-04 -0.7198506205E+02 0.7739410394E-03
0.2012095887E-03 -0.4604891345E-02 0.7868828627E-04 -0.7198489422E+02 0.7826587130E-03
0.2034695239E-03 -0.4654395893E-02 0.7957209324E-04 -0.7198471884E+02 0.7914493373E-03
0.2057483705E-03 -0.4704286546E-02 0.8046329605E-04 -0.7198453552E+02 0.8003135230E-03
0.2080462868E-03 -0.4754566298E-02 0.8136195657E-04 -0.7198434383E+02 0.8092518854E-03
0.2103634324E-03 -0.4805238164E-02 0.8226813723E-04 -0.7198414338E+02 0.8182650455E-03
0.2126999683E-03 -0.4856305181E-02 0.8318190095E-04 -0.7198393374E+02 0.8273536291E-03
0.2150560567E-03 -0.4907770408E-02 0.8410331119E-04 -0.7198371452E+02 0.8365182673E-03
0.2174318611E-03 -0.4959636927E-02 0.8503243193E-04 -0.7198348529E+02 0.8457595966E-03
0.2198275467E-03 -0.5011907840E-02 0.8596932769E-04 -0.7198324565E+02 0.8550782587E-03
0.2222432797E-03 -0.5064586273E-02 0.8691406355E-04 -0.7198299520E+02 0.8644749008E-03
0.2246792280E-03 -0.5117675375E-02 0.8786670510E-04 -0.7198273352E+02 0.8739501755E-03
0.2271355606E-03 -0.5171178317E-02 0.8882731851E-04 -0.7198246021E+02 0.8835047407E-03
0.2296124482E-03 -0.5225098292E-02 0.8979597048E-04 -0.7198217489E+02 0.8931392600E-03
0.2321100628E-03 -0.5279438518E-02 0.9077272828E-04 -0.7198187716E+02 0.9028544024E-03
0.2346285778E-03 -0.5334202234E-02 0.9175765974E-04 -0.7198156663E+02 0.9126508425E-03
0.2371681681E-03 -0.5389392704E-02 0.9275083326E-04 -0.7198124295E+02 0.9225292608E-03
0.2397290100E-03 -0.5445013214E-02 0.9375231781E-04 -0.7198090572E+02 0.9324903432E-03
0.2423112815E-03 -0.5501067074E-02 0.9476218294E-04 -0.7198055461E+02 0.9425347814E-03
0.2449151619E-03 -0.5557557618E-02 0.9578049878E-04 -0.7198018925E+02 0.9526632730E-03
0.2475408319E-03 -0.5614488205E-02 0.9680733605E-04 -0.7197980932E+02 0.9628765214E-03
0.2501884739E-03 -0.5671862216E-02 0.9784276605E-04 -0.7197941447E+02 0.9731752358E-03
0.2528582718E-03 -0.5729683056E-02 0.9888686069E-04 -0.7197900440E+02 0.9835601314E-03
0.2555504109E-03 -0.5787954157E-02 0.9993969248E-04 -0.7197857879E+02 0.9940319294E-03
0.2582650783E-03 -0.5846678973E-02 0.1010013345E-03 -0.7197813735E+02 0.1004591357E-02
0.2610024625E-03 -0.5905860984E-02 0.1020718606E-03 -0.7197767980E+02 0.1015239148E-02
0.2637627534E-03 -0.5965503693E-02 0.1031513449E-03 -0.7197720587E+02 0.1025976040E-02
0.2665461430E-03 -0.6025610629E-02 0.1042398626E-03 -0.7197671529E+02 0.1036802781E-02
0.2693528243E-03 -0.6086185347E-02 0.1053374891E-03 -0.7197620783E+02 0.1047720122E-02
0.2721829924E-03 -0.6147231426E-02 0.1064443008E-03 -0.7197568324E+02 0.1058728820E-02
0.2750368438E-03 -0.6208752471E-02 0.1075603744E-03 -0.7197514131E+02 0.1069829641E-02
0.2779145766E-03 -0.6270752112E-02 0.1086857876E-03 -0.7197458184E+02 0.1081023356E-02
0.2808163907E-03 -0.6333234005E-02 0.1098206183E-03 -0.7197400462E+02 0.1092310741E-02
0.2837424877E-03 -0.6396201831E-02 0.1109649455E-03 -0.7197340947E+02 0.1103692580E-02
0.2866930706E-03 -0.6459659298E-02 0.1121188486E-03 -0.7197279622E+02 0.1115169665E-02
0.2896683446E-03 -0.6523610140E-02 0.1132824077E-03 -0.7197216473E+02 0.1126742792E-02
0.2926685160E-03 -0.6588058118E-02 0.1144557037E-03 -0.7197151484E+02 0.1138412764E-02
0.2956937933E-03 -0.6653007016E-02 0.1156388180E-03 -0.7197084641E+02 0.1150180392E-02
0.2987443867E-03 -0.6718460650E-02 0.1168318328E-03 -0.7197015934E+02 0.1162046494E-02
0.3018205078E-03 -0.6784422858E-02 0.1180348310E-03 -0.7196945351E+02 0.1174011893E-02
0.3049223704E-03 -0.6850897508E-02 0.1192478960E-03 -0.7196872883E+02 0.1186077420E-02
0.3080501899E-03 -0.6917888492E-02 0.1204711121E-03 -0.7196798521E+02 0.1198243914E-02
0.3112041834E-03 -0.6985399733E-02 0.1217045643E-03 -0.7196722257E+02 0.1210512218E-02
0.3143845700E-03 -0.7053435178E-02 0.1229483383E-03 -0.7196644085E+02 0.1222883186E-02
0.3175915706E-03 -0.7121998803E-02 0.1242025203E-03 -0.7196564000E+02 0.1235357676E-02
0.3208254079E-03 -0.7191094612E-02 0.1254671975E-03 -0.7196481997E+02 0.1247936554E-02
0.3240863064E-03 -0.7260726637E-02 0.1267424578E-03 -0.7196398073E+02 0.1260620694E-02
0.3273744926E-03 -0.7330898936E-02 0.1280283896E-03 -0.7196312225E+02 0.1273410977E-02
0.3306901948E-03 -0.7401615596E-02 0.1293250823E-03 -0.7196224451E+02 0.1286308291E-02
0.3340336433E-03 -0.7472880735E-02 0.1306326259E-03 -0.7196134751E+02 0.1299313532E-02
0.3374050704E-03 -0.7544698495E-02 0.1319511113E-03 -0.7196043125E+02 0.1312427602E-02
0.3408047100E-03 -0.7617073051E-02 0.1332806300E-03 -0.7195949572E+02 0.1325651413E-02
0.3442327983E-03 -0.7690008602E-02 0.1346212742E-03 -0.7195854096E+02 0.1338985883E-02
0.3476895734E-03 -0.7763509380E-02 0.1359731373E-03 -0.7195756696E+02 0.1352431938E-02
0.3511752754E-03 -0.7837579644E-02 0.1373363129E-03 -0.7195657377E+02 0.1365990511E-02
0.3546901462E-03 -0.7912223683E-02 0.1387108958E-03 -0.7195556141E+02 0.1379662545E-02
0.3582344300E-03 -0.7987445815E-02 0.1400969814E-03 -0.7195452993E+02 0.1393448988E-02
0.3618083728E-03 -0.8063250388E-02 0.1414946660E-03 -0.7195347936E+02 0.1407350799E-02
0.3654122230E-03 -0.8139641778E-02 0.1429040467E-03 -0.7195240974E+02 0.1421368942E-02
0.3690462308E-03 -0.8216624393E-02 0.1443252212E-03 -0.7195132114E+02 0.1435504390E-02
0.3727106485E-03 -0.8294202670E-02 0.1457582884E-03 -0.7195021361E+02 0.1449758127E-02
0.3764057306E-03 -0.8372381077E-02 0.1472033478E-03 -0.7194908721E+02 0.1464131140E-02
0.3801317337E-03 -0.8451164110E-02 0.1486604996E-03 -0.7194794199E+02 0.1478624430E-02
0.3838889165E-03 -0.8530556298E-02 0.1501298451E-03 -0.7194677802E+02 0.1493239001E-02
0.3876775400E-03 -0.8610562199E-02 0.1516114863E-03 -0.7194559537E+02 0.1507975869E-02
0.3914978674E-03 -0.8691186403E-02 0.1531055262E-03 -0.7194439411E+02 0.1522836058E-02
0.3953501638E-03 -0.8772433531E-02 0.1546120684E-03 -0.7194317431E+02 0.1537820599E-02
0.3992346968E-03 -0.8854308232E-02 0.1561312176E-03 -0.7194193603E+02 0.1552930533E-02
0.4031517361E-03 -0.8936815190E-02 0.1576630793E-03 -0.7194067936E+02 0.1568166909E-02
0.4071015539E-03 -0.9019959119E-02 0.1592077598E-03 -0.7193940436E+02 0.1583530786E-02
0.4110844243E-03 -0.9103744764E-02 0.1607653665E-03 -0.7193811111E+02 0.1599023230E-02
0.4151006240E-03 -0.9188176901E-02 0.1623360075E-03 -0.7193679969E+02 0.1614645317E-02
0.4191504318E-03 -0.9273260341E-02 0.1639197919E-03 -0.7193547016E+02 0.1630398131E-02
0.4232341291E-03 -0.9358999924E-02 0.1655168296E-03 -0.7193412260E+02 0.1646282768E-02
0.4273519994E-03 -0.9445400523E-02 0.1671272316E-03 -0.7193275708E+02 0.1662300330E-02
0.4315043286E-03 -0.9532467043E-02 0.1687511098E-03 -0.7193137368E+02 0.1678451929E-02
0.4356914051E-03 -0.9620204421E-02 0.1703885768E-03 -0.7192997246E+02 0.1694738688E-02
0.4399135198E-03 -0.9708617629E-02 0.1720397464E-03 -0.7192855350E+02 0.1711161736E-02
0.4441709657E-03 -0.9797711668E-02 0.1737047332E-03 -0.7192711687E+02 0.1727722215E-02
0.4484640386E-03 -0.9887491575E-02 0.1753836529E-03 -0.7192566262E+02 0.1744421275E-02
0.4527930366E-03 -0.9977962418E-02 0.1770766222E-03 -0.7192419083E+02 0.1761260075E-02
0.4571582603E-03 -0.1006912930E-01 0.1787837584E-03 -0.7192270157E+02 0.1778239784E-02
0.4615600129E-03 -0.1016099735E-01 0.1805051803E-03 -0.7192119488E+02 0.1795361582E-02
0.4659986000E-03 -0.1025357175E-01 0.1822410073E-03 -0.7191967083E+02 0.1812626658E-02
0.4704743298E-03 -0.1034685769E-01 0.1839913600E-03 -0.7191812947E+02 0.1830036211E-02
0.4749875133E-03 -0.1044086042E-01 0.1857563599E-03 -0.7191657087E+02 0.1847591450E-02
0.4795384637E-03 -0.1053558519E-01 0.1875361296E-03 -0.7191499506E+02 0.1865293594E-02
0.4841274973E-03 -0.1063103731E-01 0.1893307928E-03 -0.7191340210E+02 0.1883143871E-02
0.4887549325E-03 -0.1072722213E-01 0.1911404740E-03 -0.7191179203E+02 0.1901143523E-02
0.4934210908E-03 -0.1082414501E-01 0.1929652989E-03 -0.7191016490E+02 0.1919293799E-02
0.4981262963E-03 -0.1092181137E-01 0.1948053942E-03 -0.7190852075E+02 0.1937595958E-02
0.5028708756E-03 -0.1102022663E-01 0.1966608878E-03 -0.7190685960E+02 0.1956051273E-02
0.5076551583E-03 -0.1111939629E-01 0.1985319084E-03 -0.7190518150E+02 0.1974661025E-02
0.5124794765E-03 -0.1121932584E-01 0.2004185861E-03 -0.7190348647E+02 0.1993426506E-02
0.5173441655E-03 -0.1132002083E-01 0.2023210518E-03 -0.7190177454E+02 0.2012349020E-02
0.5222495628E-03 -0.1142148685E-01 0.2042394377E-03 -0.7190004574E+02 0.2031429880E-02
0.5271960093E-03 -0.1152372951E-01 0.2061738769E-03 -0.7189830008E+02 0.2050670411E-02
0.5321838484E-03 -0.1162675446E-01 0.2081245038E-03 -0.7189653758E+02 0.2070071951E-02
0.5372134265E-03 -0.1173056740E-01 0.2100914540E-03 -0.7189475825E+02 0.2089635845E-02
0.5422850929E-03 -0.1183517403E-01 0.2120748639E-03 -0.7189296210E+02 0.2109363453E-02
0.5473991997E-03 -0.1194058012E-01 0.2140748713E-03 -0.7189114914E+02 0.2129256144E-02
0.5525561022E-03 -0.1204679146E-01 0.2160916151E-03 -0.7188931937E+02 0.2149315301E-02
0.5577561584E-03 -0.1215381389E-01 0.2181252353E-03 -0.7188747278E+02 0.2169542316E-02
