# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.1553191787E-03 0.5167342264E-02 0.2048566533E-03 -0.5201877331E+02 0.7493233594E-03
0.1574167045E-03 0.5235558759E-02 0.2076231641E-03 -0.5201888723E+02 0.7594426838E-03
0.1595317829E-03 0.5304321610E-02 0.2104128254E-03 -0.5201900368E+02 0.7696466882E-03
0.1616645605E-03 0.5373635209E-02 0.2132258311E-03 -0.5201912251E+02 0.7799360813E-03
0.1638151855E-03 0.5443503986E-02 0.2160623765E-03 -0.5201924351E+02 0.7903115776E-03
0.1659838072E-03 0.5513932401E-02 0.2189226585E-03 -0.5201936643E+02 0.8007738976E-03
0.1681705764E-03 0.5584924950E-02 0.2218068758E-03 -0.5201949101E+02 0.8113237679E-03
0.1703756447E-03 0.5656486161E-02 0.2247152287E-03 -0.5201961693E+02 0.8219619211E-03
0.1725991654E-03 0.5728620600E-02 0.2276479191E-03 -0.5201974386E+02 0.8326890960E-03
0.1748412929E-03 0.5801332864E-02 0.2306051508E-03 -0.5201987141E+02 0.8435060375E-03
0.1771021828E-03 0.5874627586E-02 0.2335871290E-03 -0.5201999918E+02 0.8544134969E-03
0.1793819922E-03 0.5948509436E-02 0.2365940609E-03 -0.5202012676E+02 0.8654122315E-03
0.1816808794E-03 0.6022983118E-02 0.2396261553E-03 -0.5202025369E+02 0.8765030052E-03
0.1839990040E-03 0.6098053370E-02 0.2426836228E-03 -0.5202037951E+02 0.8876865882E-03
0.1863365270E-03 0.6173724970E-02 0.2457666756E-03 -0.5202050372E+02 0.8989637572E-03
0.1886936108E-03 0.6250002729E-02 0.2488755278E-03 -0.5202062581E+02 0.9103352951E-03
0.1910704190E-03 0.6326891496E-02 0.2520103955E-03 -0.5202074527E+02 0.9218019919E-03
0.1934671167E-03 0.6404396155E-02 0.2551714962E-03 -0.5202086157E+02 0.9333646437E-03
0.1958838704E-03 0.6482521631E-02 0.2583590495E-03 -0.5202097416E+02 0.9450240535E-03
0.1983208478E-03 0.6561272882E-02 0.2615732767E-03 -0.5202108248E+02 0.9567810311E-03
0.2007782182E-03 0.6640654905E-02 0.2648144011E-03 -0.5202118600E+02 0.9686363928E-03
0.2032561522E-03 0.6720672737E-02 0.2680826478E-03 -0.5202128415E+02 0.9805909621E-03
0.2057548220E-03 0.6801331450E-02 0.2713782436E-03 -0.5202137636E+02 0.9926455689E-03
0.2082744011E-03 0.6882636156E-02 0.2747014176E-03 -0.5202146209E+02 0.1004801051E-02
0.2108150643E-03 0.6964592006E-02 0.2780524004E-03 -0.5202154078E+02 0.1017058251E-02
0.2133769882E-03 0.7047204190E-02 0.2814314247E-03 -0.5202161187E+02 0.1029418022E-02
